id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
31d5313c-ebb51fd5-3f403e8-589fe23a,1,0,145.516422s,152.652000s,8.163688s,6.293000s,6.293000s,0.000000s,Map,completed,1
e56e52e2-cc019e71-3f403e8-3172ae43,28,0,0.000000s,152.927000s,216.399225s,745.537989s,131.870000s,0.000000s,MapReduce,completed,0
2236408f-f4a703f3-3f403e8-a770ad6,1,0,148.287507s,153.157000s,7.148971s,4.800000s,4.800000s,0.000000s,Map,completed,1
1b5b7fed-7e67ab4f-3f403e8-40243f04,1,0,145.800022s,153.948000s,9.918550s,7.589000s,7.589000s,0.000000s,Vanilla,completed,1
bb724547-31571ee9-3f403e8-6e1f1473,1824,0,0.000000s,154.039000s,600.000000s,29246.649078s,68.955000s,0.000000s,Map,completed,0
d52bfc15-64e65c3a-3f403e8-c9338760,9,0,138.230720s,155.362000s,25.321869s,127.641994s,16.359000s,0.000000s,Map,completed,1
808e39e7-bed80d68-3f403e8-fde83e1d,101,0,133.286134s,156.911000s,30.152886s,734.616952s,12.375000s,0.000000s,MapReduce,completed,1
db227409-2d46dd66-3f403e8-686d143b,31,0,146.334551s,159.215000s,19.510218s,195.272989s,12.637000s,0.000000s,Merge,completed,1
8d9c5a53-ffd0b41-3f403e8-fa46e628,79,0,138.905806s,159.464000s,30.577462s,429.567951s,10.107000s,0.000000s,MapReduce,completed,1
b9774622-5b193d8b-3f403e8-93e853a5,18,0,146.452560s,160.064000s,18.502605s,69.592988s,6.697000s,0.000000s,Sort,failed,1
9be441a1-d192feec-3f403e8-e0da5671,149,0,133.003009s,161.003000s,39.279047s,1217.357941s,15.404000s,0.000000s,MapReduce,completed,1
6825abd8-84d57c7d-3f403e8-c827f0d7,1,0,154.219467s,161.672000s,9.091268s,7.300999s,7.301000s,0.000000s,Vanilla,completed,1
a1203102-29159b00-3f403e8-1e2e26fb,380,2,0.000000s,162.281000s,600.000000s,25918.854809s,90.929000s,116.085999s,Map,completed,0
84edb643-a8becf49-3f403e8-483ee996,148,0,131.853919s,162.723000s,39.659101s,993.802917s,15.645000s,0.000000s,MapReduce,completed,1
